osmotic  Ion str. g(H2O)   g(H)     g(Na)    g(Mg)    g(Ca)    g(K)     g(MgOH)  g(TRISH) g(Cl)    g(SO4)   g(HSO4)  g(OH)    g(TRIS)   [H]      [Na]     [Mg]     [Ca]     [K]     [MgOH]    [TRISH]  [Cl]     [SO4]    [HSO4]   [OH]     [TRIS]  
0.910253 0.100000 0.996726 0.825444 0.790175 0.405783 0.439875 0.758287 0.741072 0.741072 0.740184 0.301226 0.741072 0.741072 1.000000  0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.100000 0.000000 0.000000 0.100000 0.000000 0.000000 
0.822045 1.000000 0.970816 1.004014 0.715446 0.335959 0.431796 0.554347 0.500362 0.500362 0.494394 0.062561 0.500362 0.500362 1.000000  0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000 0.000000 0.000000 1.000000 0.000000 0.000000 
0.910253 0.100000 0.996726 0.741072 0.779763 0.301226 0.244840 0.793587 0.741072 0.741072 0.733698 0.300444 0.741072 0.741072 1.000000  0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.100000 0.000000 0.000000 0.000000 0.100000 0.000000 
0.822045 1.000000 0.970816 0.500362 0.694018 0.062561 0.032821 0.787695 0.500362 0.500362 0.452746 0.060956 0.500362 0.500362 1.000000  0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000 0.000000 0.000000 0.000000 1.000000 0.000000 
1.000000 0.000000 0.998200 0.999891 0.999891 0.999602 0.999602 0.999891 0.999891 0.999891 0.999904 0.999626 0.999904 0.999904 1.000000  0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.100000 
1.000000 0.000000 0.982146 0.999891 0.999891 0.999602 0.999602 0.999891 0.999891 0.999891 0.999904 0.999626 0.999904 0.999904 1.000000  0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000 
0.935972 0.100000 0.996633 0.799837 0.779001 0.401741 0.401083 0.766108 0.901798 0.738317 0.782050 0.326417 0.794895 0.759377 1.000000  0.025000 0.075000 0.000000 0.000000 0.000000 0.000000 0.000000 0.100000 0.000000 0.000000 0.000000 0.000000 
0.941539 0.100000 0.996613 0.796869 0.781687 0.401201 0.400494 0.767271 0.901674 0.738216 0.790914 0.314617 0.812407 0.740218 1.000000  0.075000 0.025000 0.000000 0.000000 0.000000 0.000000 0.000000 0.100000 0.000000 0.000000 0.000000 0.000000 
0.968075 1.000000 0.965721 0.854913 0.667866 0.319516 0.301438 0.587388 1.048640 0.478381 0.691986 0.086924 0.732912 0.550751 1.000000  0.250000 0.750000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000 0.000000 0.000000 0.000000 0.000000 
1.019615 1.000000 0.963929 0.824942 0.689799 0.315002 0.295608 0.593714 1.046872 0.477574 0.768419 0.067205 0.875037 0.468254 1.000000  0.750000 0.250000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000 0.000000 0.000000 0.000000 0.000000 
